Country,UN_Region,Continent
Afghanistan,Southern Asia,Asia
Albania,Southern Europe,Europe
Algeria,Northern Africa,Africa
American Samoa,Polynesia,Oceania
Andorra,Southern Europe,Europe
Angola,Middle Africa,Africa
Anguilla,Caribbean,North America
Antigua And Barbuda,Caribbean,North America
Argentina,South America,South America
Armenia,Western Asia,Asia
Aruba,Caribbean,North America
Australia,Australia and New Zealand,Oceania
Austria,Western Europe,Europe
Azerbaijan,Western Asia,Asia
Bahamas,Caribbean,North America
Bahrain,Western Asia,Asia
Baker Island,Northern America,North America
Bangladesh,Southern Asia,Asia
Barbados,Caribbean,North America
Belarus,Eastern Europe,Europe
Belgium,Western Europe,Europe
Belize,Central America,North America
Benin,Western Africa,Africa
Bhutan,Southern Asia,Asia
Bolivia,South America,South America
"Bonaire, Saint Eustatius And Saba",Caribbean,North America
Bosnia And Herzegovina,Southern Europe,Europe
Botswana,Southern Africa,Africa
Brazil,South America,South America
British Virgin Islands,Caribbean,North America
Bulgaria,Eastern Europe,Europe
Burkina Faso,Western Africa,Africa
Burma,South-eastern Asia,Asia
Burundi,Eastern Africa,Africa
Cambodia,South-eastern Asia,Asia
Cameroon,Middle Africa,Africa
Canada,Northern America,North America
Cape Verde,Western Africa,Africa
Cayman Islands,Caribbean,North America
Central African Republic,Middle Africa,Africa
Chad,Middle Africa,Africa
Chile,South America,South America
China,Eastern Asia,Asia
Christmas Island,Australia and New Zealand,Asia
Colombia,South America,South America
Comoros,Eastern Africa,Africa
Costa Rica,Central America,North America
Croatia,Southern Europe,Europe
Cuba,Caribbean,North America
Curaçao,Caribbean,North America
Cyprus,Western Asia,Asia
Czech Republic,Eastern Europe,Europe
Côte D'Ivoire,Western Africa,Africa
Democratic Republic of the Congo,Middle Africa,Africa
Denmark,Northern Europe,Europe
Djibouti,Eastern Africa,Africa
Dominica,Caribbean,North America
Dominican Republic,Caribbean,North America
Ecuador,South America,South America
Egypt,Northern Africa,Africa
El Salvador,Central America,North America
Equatorial Guinea,Middle Africa,Africa
Eritrea,Eastern Africa,Africa
Estonia,Northern Europe,Europe
Ethiopia,Eastern Africa,Africa
Falkland Islands (Islas Malvinas),South America,South America
Faroe Islands,Northern Europe,Europe
Federated States Of Micronesia,Micronesia,Oceania
Fiji,Melanesia,Oceania
Finland,Northern Europe,Europe
France,Western Europe,Europe
French Guiana,South America,South America
French Polynesia,Polynesia,Oceania
French Southern And Antarctic Lands,Eastern Africa,Africa
Gabon,Middle Africa,Africa
Gambia,Western Africa,Africa
Gaza Strip,Western Asia,Asia
Georgia,Western Asia,Asia
Germany,Western Europe,Europe
Ghana,Western Africa,Africa
Greece,Southern Europe,Europe
Greenland,Northern America,North America
Grenada,Caribbean,North America
Guadeloupe,Caribbean,North America
Guam,Micronesia,Oceania
Guatemala,Central America,North America
Guernsey,Northern Europe,Europe
Guinea,Western Africa,Africa
Guinea Bissau,Western Africa,Africa
Guyana,South America,South America
Haiti,Caribbean,North America
Heard Island And Mcdonald Islands,Australia and New Zealand,Antarctica
Honduras,Central America,North America
Hong Kong,Eastern Asia,Asia
Hungary,Eastern Europe,Europe
Iceland,Northern Europe,Europe
India,Southern Asia,Asia
Indonesia,South-eastern Asia,Asia
Iran,Southern Asia,Asia
Iraq,Western Asia,Asia
Ireland,Northern Europe,Europe
Isle Of Man,Northern Europe,Europe
Israel,Western Asia,Asia
Italy,Southern Europe,Europe
Jamaica,Caribbean,North America
Japan,Eastern Asia,Asia
Jersey,Northern Europe,Europe
Jordan,Western Asia,Asia
Kazakhstan,Central Asia,Asia
Kenya,Eastern Africa,Africa
Kingman Reef,Northern America,North America
Kiribati,Micronesia,Oceania
Kuwait,Western Asia,Asia
Kyrgyzstan,Central Asia,Asia
Laos,South-eastern Asia,Asia
Latvia,Northern Europe,Europe
Lebanon,Western Asia,Asia
Lesotho,Southern Africa,Africa
Liberia,Western Africa,Africa
Libya,Northern Africa,Africa
Liechtenstein,Western Europe,Europe
Lithuania,Northern Europe,Europe
Luxembourg,Western Europe,Europe
Macau,Eastern Asia,Asia
Macedonia,Southern Europe,Europe
Madagascar,Eastern Africa,Africa
Malawi,Eastern Africa,Africa
Malaysia,South-eastern Asia,Asia
Mali,Western Africa,Africa
Malta,Southern Europe,Europe
Martinique,Caribbean,North America
Mauritania,Western Africa,Africa
Mauritius,Eastern Africa,Africa
Mayotte,Eastern Africa,Africa
Mexico,Central America,North America
Moldova,Eastern Europe,Europe
Monaco,Western Europe,Europe
Mongolia,Eastern Asia,Asia
Montenegro,Southern Europe,Europe
Montserrat,Caribbean,North America
Morocco,Northern Africa,Africa
Mozambique,Eastern Africa,Africa
Namibia,Southern Africa,Africa
Nepal,Southern Asia,Asia
Netherlands,Western Europe,Europe
New Caledonia,Melanesia,Oceania
New Zealand,Australia and New Zealand,Oceania
Nicaragua,Central America,North America
Niger,Western Africa,Africa
Nigeria,Western Africa,Africa
Niue,Polynesia,Oceania
North Korea,Eastern Asia,Asia
Northern Mariana Islands,Micronesia,Oceania
Norway,Northern Europe,Europe
Oman,Western Asia,Asia
Pakistan,Southern Asia,Asia
Palau,Micronesia,Oceania
Palestina,Western Asia,Asia
Palmyra Atoll,Northern America,North America
Panama,Central America,North America
Papua New Guinea,Melanesia,Oceania
Paraguay,South America,South America
Peru,South America,South America
Philippines,South-eastern Asia,Asia
Poland,Eastern Europe,Europe
Portugal,Southern Europe,Europe
Puerto Rico,Caribbean,North America
Qatar,Western Asia,Asia
Republic of the Congo,Middle Africa,Africa
Reunion,Eastern Africa,Africa
Romania,Eastern Europe,Europe
Russia,Eastern Europe,Europe
Rwanda,Eastern Africa,Africa
Saint Barthélemy,Caribbean,North America
Saint Kitts And Nevis,Caribbean,North America
Saint Lucia,Caribbean,North America
Saint Martin,Caribbean,North America
Saint Pierre And Miquelon,Northern America,North America
Saint Vincent And The Grenadines,Caribbean,North America
Samoa,Polynesia,Oceania
San Marino,Southern Europe,Europe
Sao Tome And Principe,Middle Africa,Africa
Saudi Arabia,Western Asia,Asia
Senegal,Western Africa,Africa
Serbia,Southern Europe,Europe
Seychelles,Eastern Africa,Africa
Sierra Leone,Western Africa,Africa
Singapore,South-eastern Asia,Asia
Sint Maarten,Caribbean,North America
Slovakia,Eastern Europe,Europe
Slovenia,Southern Europe,Europe
Solomon Islands,Melanesia,Oceania
Somalia,Eastern Africa,Africa
South Africa,Southern Africa,Africa
South Georgia And The South Sandwich Isla,South America,Antarctica
South Korea,Eastern Asia,Asia
Spain,Southern Europe,Europe
Sri Lanka,Southern Asia,Asia
Sudan,Northern Africa,Africa
Suriname,South America,South America
Svalbard And Jan Mayen,Northern Europe,Europe
Swaziland,Southern Africa,Africa
Sweden,Northern Europe,Europe
Switzerland,Western Europe,Europe
Syria,Western Asia,Asia
Taiwan,Eastern Asia,Asia
Tajikistan,Central Asia,Asia
Tanzania,Eastern Africa,Africa
Thailand,South-eastern Asia,Asia
Timor Leste,South-eastern Asia,Asia
Togo,Western Africa,Africa
Tonga,Polynesia,Oceania
Trinidad And Tobago,Caribbean,North America
Tunisia,Northern Africa,Africa
Turkey,Western Asia,Asia
Turkmenistan,Central Asia,Asia
Turks And Caicas Islands,Caribbean,North America
Uganda,Eastern Africa,Africa
Ukraine,Eastern Europe,Europe
United Arab Emirates,Western Asia,Asia
United Kingdom,Northern Europe,Europe
United States,Northern America,North America
United States Virgin Islands,Caribbean,North America
Uruguay,South America,South America
Uzbekistan,Central Asia,Asia
Venezuela,South America,South America
Vietnam,South-eastern Asia,Asia
Western Sahara,Northern Africa,Africa
Yemen,Western Asia,Asia
Zambia,Eastern Africa,Africa
Zimbabwe,Eastern Africa,Africa
Åland,Northern Europe,Europe
